Datetime,Discharge_ML_day,QC
26/05/1992 00:00:00,575.843,1
27/05/1992 00:00:00,537.294,1
28/05/1992 00:00:00,479.753,1
29/05/1992 00:00:00,437.216,1
30/05/1992 00:00:00,387.159,1
31/05/1992 00:00:00,365.672,1
01/06/1992 00:00:00,363.795,1
02/06/1992 00:00:00,351.783,1
03/06/1992 00:00:00,336.281,1
04/06/1992 00:00:00,315.232,1
05/06/1992 00:00:00,312.583,1
06/06/1992 00:00:00,317.533,1
07/06/1992 00:00:00,362.815,1
08/06/1992 00:00:00,382.223,1
09/06/1992 00:00:00,355.127,1
10/06/1992 00:00:00,325.466,1
11/06/1992 00:00:00,300.867,1
12/06/1992 00:00:00,313.502,1
13/06/1992 00:00:00,321.062,1
14/06/1992 00:00:00,309.019,1
15/06/1992 00:00:00,310.322,1
16/06/1992 00:00:00,324.593,1
17/06/1992 00:00:00,318.633,1
18/06/1992 00:00:00,293.193,1
19/06/1992 00:00:00,290.732,1
20/06/1992 00:00:00,307.341,1
21/06/1992 00:00:00,306.055,1
22/06/1992 00:00:00,303.691,1
23/06/1992 00:00:00,311.088,1
24/06/1992 00:00:00,317.469,1
25/06/1992 00:00:00,303.368,1
26/06/1992 00:00:00,323.084,1
27/06/1992 00:00:00,370.122,1
28/06/1992 00:00:00,1697.425,1
29/06/1992 00:00:00,21458.988,1
30/06/1992 00:00:00,8605.365,1
01/07/1992 00:00:00,4837.656,1
02/07/1992 00:00:00,3143.078,1
03/07/1992 00:00:00,2253.232,1
04/07/1992 00:00:00,1760.003,1
05/07/1992 00:00:00,1465.308,1
06/07/1992 00:00:00,1259.397,1
07/07/1992 00:00:00,1092.68,1
08/07/1992 00:00:00,1100.966,1
09/07/1992 00:00:00,1001.577,1
10/07/1992 00:00:00,933.706,1
11/07/1992 00:00:00,896.285,1
12/07/1992 00:00:00,850.067,1
13/07/1992 00:00:00,811.931,1
14/07/1992 00:00:00,770.508,1
15/07/1992 00:00:00,744.23,1
16/07/1992 00:00:00,722.468,1
17/07/1992 00:00:00,679.746,1
18/07/1992 00:00:00,642.646,1
19/07/1992 00:00:00,633.882,1
20/07/1992 00:00:00,654.571,1
21/07/1992 00:00:00,717.039,1
22/07/1992 00:00:00,964.591,1
23/07/1992 00:00:00,930.108,1
24/07/1992 00:00:00,785.416,1
25/07/1992 00:00:00,712.179,1
26/07/1992 00:00:00,650.334,1
27/07/1992 00:00:00,609.419,1
28/07/1992 00:00:00,594.678,1
29/07/1992 00:00:00,560.412,1
30/07/1992 00:00:00,543.14,1
31/07/1992 00:00:00,528.516,1
01/08/1992 00:00:00,507.436,1
02/08/1992 00:00:00,499.214,1
03/08/1992 00:00:00,484.938,1
04/08/1992 00:00:00,472.259,1
05/08/1992 00:00:00,454.043,1
06/08/1992 00:00:00,465.803,1
07/08/1992 00:00:00,725.094,1
