Date,Flow (Ml/d)
22/06/1969 ,58.4928
23/06/1969 ,31.4496
24/06/1969 ,20.2176
25/06/1969 ,15.3792
26/06/1969 ,11.4048
27/06/1969 ,8.1216
28/06/1969 ,5.7888
29/06/1969 ,4.8384
30/06/1969 ,4.1472
01/07/1969 ,3.2832
02/07/1969 ,2.6784
03/07/1969 ,2.3328
04/07/1969 ,1.9008
05/07/1969 ,12.7872
06/07/1969 ,152.7552
07/07/1969 ,28.7712
08/07/1969 ,19.1808
09/07/1969 ,14.9472
10/07/1969 ,11.664
11/07/1969 ,8.8992
12/07/1969 ,6.7392
13/07/1969 ,6.3936
14/07/1969 ,31.1904
15/07/1969 ,15.0336
16/07/1969 ,11.4048
17/07/1969 ,10.1952
18/07/1969 ,8.1216
19/07/1969 ,6.6528
20/07/1969 ,5.8752
21/07/1969 ,6.3072
22/07/1969 ,23.76
23/07/1969 ,26.2656
24/07/1969 ,14.7744
25/07/1969 ,10.6272
26/07/1969 ,7.4304
27/07/1969 ,5.7024
28/07/1969 ,4.8384
29/07/1969 ,4.4064
30/07/1969 ,4.0608
31/07/1969 ,3.8016
01/08/1969 ,3.2832
02/08/1969 ,2.8512
03/08/1969 ,2.592
04/08/1969 ,3.456
05/08/1969 ,9.3312
06/08/1969 ,4.6656
07/08/1969 ,3.1968
08/08/1969 ,2.6784
09/08/1969 ,1.9872
10/08/1969 ,1.8144
11/08/1969 ,1.4688
12/08/1969 ,1.296
13/08/1969 ,1.296
14/08/1969 ,88.4736
15/08/1969 ,45.5328
16/08/1969 ,38.5344
17/08/1969 ,17.28
18/08/1969 ,14.0832
19/08/1969 ,11.9232
20/08/1969 ,8.0352
21/08/1969 ,5.2704
22/08/1969 ,4.5792
23/08/1969 ,4.9248
24/08/1969 ,7.6032
25/08/1969 ,4.4928
26/08/1969 ,4.0608
27/08/1969 ,3.5424
28/08/1969 ,27.4752
29/08/1969 ,179.28
30/08/1969 ,35.856
31/08/1969 ,22.6368
01/09/1969 ,17.0208
02/09/1969 ,13.2192
03/09/1969 ,10.1952
04/09/1969 ,15.3792
05/09/1969 ,12.528
06/09/1969 ,8.4672
07/09/1969 ,8.8992
08/09/1969 ,8.8128
09/09/1969 ,6.048
10/09/1969 ,4.4064
11/09/1969 ,3.7152
12/09/1969 ,3.6288
13/09/1969 ,3.3696
14/09/1969 ,2.592
15/09/1969 ,2.7648
16/09/1969 ,2.6784
17/09/1969 ,2.0736
18/09/1969 ,1.728
19/09/1969 ,1.3824
20/09/1969 ,1.2096
21/09/1969 ,1.1232
22/09/1969 ,1.296
23/09/1969 ,1.8144
24/09/1969 ,1.728
25/09/1969 ,1.296
26/09/1969 ,1.0368
27/09/1969 ,0.9504
28/09/1969 ,0.9504
29/09/1969 ,0.9504
30/09/1969 ,1.9008
01/10/1969 ,1.728
02/10/1969 ,1.6416
03/10/1969 ,2.2464
04/10/1969 ,1.2096
05/10/1969 ,0.9504
06/10/1969 ,0.864
07/10/1969 ,0.7776
08/10/1969 ,0.7776
09/10/1969 ,0.6912
10/10/1969 ,0.6912
11/10/1969 ,0.6048
12/10/1969 ,0.864
13/10/1969 ,1.296
14/10/1969 ,0.9504
15/10/1969 ,1.2096
16/10/1969 ,50.544
17/10/1969 ,13.3056
18/10/1969 ,3.8016
19/10/1969 ,1.8144
20/10/1969 ,1.2096
21/10/1969 ,1.1232
22/10/1969 ,1.0368
23/10/1969 ,0.7776
24/10/1969 ,0.6912
25/10/1969 ,0.6912
26/10/1969 ,0.5184
27/10/1969 ,0.432
28/10/1969 ,0.432
29/10/1969 ,0.6048
30/10/1969 ,3.1968
31/10/1969 ,37.4112
01/11/1969 ,608.1696
02/11/1969 ,146.7072
03/11/1969 ,116.3808
04/11/1969 ,85.0176
05/11/1969 ,33.0912
06/11/1969 ,18.3168
07/11/1969 ,17.1072
08/11/1969 ,24.7968
09/11/1969 ,16.3296
10/11/1969 ,9.1584
11/11/1969 ,26.4384
12/11/1969 ,12.4416
13/11/1969 ,7.6896
14/11/1969 ,6.048
15/11/1969 ,42.8544
16/11/1969 ,74.6496
17/11/1969 ,22.896
18/11/1969 ,72.4896
19/11/1969 ,56.9376
20/11/1969 ,21.168
